surface,reading,pos,frequency
やり合う,ヤリアウ,動詞-一般,1
やり,ヤリ,動詞-非自立可能,1
例,レー,名詞-普通名詞-一般,1
とく,トク,助動詞,1
戻る,モドル,動詞-一般,1
封印,フーイン,名詞-普通名詞-サ変可能,1
強い,ツヨイ,形容詞-一般,1
庭,ニワ,名詞-普通名詞-一般,1
あちこち,アチコチ,代名詞,1
年寄り,トシヨリ,名詞-普通名詞-一般,1
干し,ホシ,動詞-一般,1
だろ,ダロ,助動詞,1
ちまっ,チマッ,助動詞,1
届け,トドケ,動詞-一般,1
届い,トドイ,動詞-一般,1
少年,ショーネン,名詞-普通名詞-一般,1
ちゃ,チャ,助詞-接続助詞,1
寝言,ネゴト,名詞-普通名詞-一般,1
影,カゲ,名詞-普通名詞-一般,1
ちゃっ,チャッ,助動詞,1
ちゃんちゃん,チャンチャン,名詞-普通名詞-一般,1
完成,カンセー,名詞-普通名詞-サ変可能,1
安全,アンゼン,名詞-普通名詞-形状詞可能,1
子ども,コドモ,名詞-普通名詞-一般,1
ちょうど,チョード,副詞,1
娘,ムスメ,名詞-普通名詞-一般,1
始末,シマツ,名詞-普通名詞-サ変可能,1
奥,オク,名詞-普通名詞-一般,1
っす,ッス,助動詞,1
大きな,オーキナ,連体詞,1
形,カタチ,名詞-普通名詞-一般,1
待ち遠しい,マチドーシー,形容詞-一般,1
うまい,ウマイ,形容詞-一般,1
たって,タッテ,助詞-接続助詞,1
戻っ,モドッ,動詞-一般,1
戻そう,モドソー,動詞-一般,1
戻す,モドス,動詞-一般,1
慣れ,ナレ,動詞-非自立可能,1
感じ,カンジ,動詞-一般,1
感,カン,名詞-普通名詞-一般,1
まず,マズ,副詞,1
意気,イキ,名詞-普通名詞-一般,1
想い,オモイ,名詞-普通名詞-一般,1
ただ者,タダモノ,名詞-普通名詞-一般,1
悪かっ,ワルカッ,形容詞-一般,1
患者,カンジャ,名詞-普通名詞-一般,1
だいぶ,ダイブ,副詞,1
性,セー,接尾辞-名詞的-一般,1
急げ,イソゲ,動詞-一般,1
たまん,タマン,動詞-一般,1
思い出す,オモイダス,動詞-一般,1
ため,タメ,名詞-普通名詞-副詞可能,1
思い,オモイ,名詞-普通名詞-一般,1
念書,ネンショ,名詞-普通名詞-一般,1
ためらっ,タメラッ,動詞-一般,1
お,オ,感動詞-一般,1
後悔,コーカイ,名詞-普通名詞-サ変可能,1
待て,マテ,動詞-一般,1
大き,オーキ,形容詞-一般,1
っつう,ッツー,助動詞,1
変わり身,カワリミ,名詞-普通名詞-一般,1
全然,ゼンゼン,副詞,1
前,マエ,名詞-普通名詞-副詞可能,1
別,ベツ,名詞-普通名詞-形状詞可能,1
初耳,ハツミミ,名詞-普通名詞-一般,1
分身,ブンシン,名詞-普通名詞-一般,1
でし,デシ,助動詞,1
